bin_start,bin_end,count
10,15,3161792
5,10,2863054
15,20,1578060
0,5,199617
25,30,509525
-10,-5,56776
30,35,330353
35,40,245429
20,25,868782
55,60,47147
90,95,9735
-20,-15,17282
45,50,131191
-15,-10,38579
80,85,17049
40,45,194683
50,55,69106
65,70,30301
60,65,35969
70,75,298405
-5,0,366969
-25,-20,10156
-115,-110,126
110,115,2145
130,135,960
185,190,264
-40,-35,4537
-35,-30,5088
120,125,1940
-70,-65,12375
85,90,22882
-30,-25,6467
140,145,779
75,80,14226
-65,-60,1305
95,100,9030
-60,-55,1483
-80,-75,769
100,105,6000
-75,-70,767
170,175,390
-50,-45,1906
450,455,20
235,240,84
-45,-40,5183
125,130,1057
145,150,625
-85,-80,914
105,110,2640
-110,-105,165
160,165,553
150,155,1073
115,120,1743
165,170,381
310,315,49
250,255,217
350,355,72
135,140,722
-55,-50,1533
-150,-145,58
-90,-85,969
220,225,164
-130,-125,64
-100,-95,448
260,265,82
-400,-395,7
400,405,59
-240,-235,5
305,310,38
-95,-90,456
175,180,309
-250,-245,17
-225,-220,6
225,230,113
370,375,10
-300,-295,17
300,305,156
405,410,7
475,480,4
-145,-140,54
320,325,35
190,195,251
230,235,88
-120,-115,138
180,185,375
500,505,29
480,485,7
340,345,29
-140,-135,56
205,210,135
-185,-180,23
-105,-100,226
770,775,2
-700,-695,5
700,705,10
200,205,447
-135,-130,59
285,290,58
195,200,204
240,245,114
155,160,520
395,400,10
265,270,39
270,275,73
245,250,97
-125,-120,71
280,285,55
-830,-825,2
825,830,1
420,425,15
-160,-155,37
-340,-335,4
335,340,32
215,220,118
-200,-195,25
210,215,154
290,295,52
-230,-225,8
255,260,65
415,420,10
-165,-160,35
275,280,50
345,350,30
670,675,1
-170,-165,28
330,335,24
-180,-175,19
360,365,18
445,450,6
575,580,3
540,545,2
325,330,17
460,465,3
355,360,16
-235,-230,8
-155,-150,35
550,555,10
-260,-255,7
-600,-595,3
600,605,16
-210,-205,10
-175,-170,32
385,390,19
295,300,41
-375,-370,2
375,380,9
315,320,22
410,415,11
-460,-455,1
455,460,6
-900,-895,4
900,905,12
-495,-490,1
490,495,8
595,600,2
430,435,14
380,385,18
-270,-265,6
-205,-200,6
605,610,2
-580,-575,1
-195,-190,25
-310,-305,4
-425,-420,2
-345,-340,2
425,430,12
435,440,6
-265,-260,6
-635,-630,1
630,635,1
-255,-250,5
-350,-345,4
485,490,3
-295,-290,2
-335,-330,2
-220,-215,9
-550,-545,1
-215,-210,5
890,895,1
-500,-495,7
495,500,15
-280,-275,6
-190,-185,12
935,940,1
-430,-425,4
365,370,12
2450,2455,1
560,565,3
-505,-500,1
510,515,2
-850,-845,1
850,855,1
-275,-270,1
863370,863375,1
1305,1310,1
-325,-320,4
-245,-240,8
-290,-285,6
-415,-410,1
-545,-540,1
470,475,4
-380,-375,1
515,520,2
-305,-300,11
390,395,10
895,900,2
950,955,6
800,805,4
530,535,1
535,540,1
440,445,6
-655,-650,1
650,655,4
720,725,1
1840,1845,1
-370,-365,1
-420,-415,4
570,575,2
-360,-355,2
-565,-560,1
-650,-645,1
-1810,-1805,1
1805,1810,1
-835,-830,1
830,835,4
990,995,2
995,1000,2
615,620,2
-800,-795,1
-860,-855,1
855,860,1
680,685,2
545,550,2
2130,2135,1
-980,-975,2
980,985,2
1170,1175,1
520,525,2
132530,132535,1
-285,-280,1
1420,1425,1
-680,-675,1
-510,-505,1
505,510,3
-320,-315,1
-960,-955,1
955,960,1
1675,1680,1
-385,-380,1
-1000,-995,1
-315,-310,2
740,745,1
-805,-800,1
1025,1030,1
46260,46265,1
555,560,1
-355,-350,1
785,790,1
590,595,1
665,670,1
750,755,1
465,470,3
975,980,1
685,690,1
1145,1150,1
865,870,1
585,590,1
-390,-385,1
-330,-325,1
-450,-445,1
-620,-615,1
960,965,1
-470,-465,1
620,625,1
2200,2205,1
